Experiment	subject	Bmemory	ret_trial_type	viol	response	rates
1	15	1	1	0	1	0.125
1	16	1	1	0	1	0
1	17	1	1	0	1	0.0833333333333333
1	19	1	1	0	1	0.111111111111111
1	20	1	1	0	1	0.2
1	22	1	1	0	1	0.272727272727273
1	24	1	1	0	1	0.2
1	25	1	1	0	1	0.142857142857143
1	26	1	1	0	1	0.266666666666667
1	31	1	1	0	1	0.166666666666667
1	32	1	1	0	1	0
1	33	1	1	0	1	0.181818181818182
1	34	1	1	0	1	0.0769230769230769
1	35	1	1	0	1	0.222222222222222
1	36	1	1	0	1	0.166666666666667
1	37	1	1	0	1	0
1	38	1	1	0	1	0.111111111111111
1	39	1	1	0	1	0.230769230769231
1	2	1	1	0	0	0.166666666666667
1	3	1	1	0	0	0.2
1	6	1	1	0	0	0.1875
1	8	1	1	0	0	0
1	9	1	1	0	0	0.3
1	10	1	1	0	0	0.384615384615385
1	11	1	1	0	0	0
1	12	1	1	0	0	0.2
1	13	1	1	0	0	0.428571428571429
1	14	1	1	0	0	0.444444444444444
1	15	1	1	0	0	0.625
1	16	1	1	0	0	0.111111111111111
1	17	1	1	0	0	0
1	19	1	1	0	0	0
1	20	1	1	0	0	0.4
1	22	1	1	0	0	0.0909090909090909
1	24	1	1	0	0	0.0666666666666667
1	25	1	1	0	0	0.285714285714286
1	26	1	1	0	0	0
1	31	1	1	0	0	0.333333333333333
1	32	1	1	0	0	0.222222222222222
1	33	1	1	0	0	0.181818181818182
1	34	1	1	0	0	0.230769230769231
1	35	1	1	0	0	0.222222222222222
1	36	1	1	0	0	0.222222222222222
1	37	1	1	0	0	0
1	38	1	1	0	0	0
1	39	1	1	0	0	0.307692307692308
1	2	1	0	1	2	0.125
1	3	1	0	1	2	0.625
1	6	1	0	1	2	0
1	8	1	0	1	2	0.1875
1	9	1	0	1	2	0.333333333333333
1	10	1	0	1	2	0
1	11	1	0	1	2	0.111111111111111
1	12	1	0	1	2	0
1	13	1	0	1	2	0.125
1	14	1	0	1	2	0
1	15	1	0	1	2	0.222222222222222
1	16	1	0	1	2	0.181818181818182
1	17	1	0	1	2	0.133333333333333
1	19	1	0	1	2	0.444444444444444
1	20	1	0	1	2	0.333333333333333
1	22	1	0	1	2	0.363636363636364
1	24	1	0	1	2	0.1875
1	25	1	0	1	2	0
1	26	1	0	1	2	0.181818181818182
1	31	1	0	1	2	0.181818181818182
1	32	1	0	1	2	0.333333333333333
1	33	1	0	1	2	0.0833333333333333
1	34	1	0	1	2	0.428571428571429
1	35	1	0	1	2	0.25
1	36	1	0	1	2	0.222222222222222
1	37	1	0	1	2	0.75
1	38	1	0	1	2	0.307692307692308
1	39	1	0	1	2	0.111111111111111
1	2	1	0	1	1	0.25
1	3	1	0	1	1	0
1	6	1	0	1	1	0.833333333333333
1	8	1	0	1	1	0.8125
1	9	1	0	1	1	0.333333333333333
1	10	1	0	1	1	0.666666666666667
1	11	1	0	1	1	0.666666666666667
1	12	1	0	1	1	0.5
1	13	1	0	1	1	0.875
1	14	1	0	1	1	0.8
1	15	1	0	1	1	0.666666666666667
1	16	1	0	1	1	0.727272727272727
1	17	1	0	1	1	0.8
1	19	1	0	1	1	0.555555555555556
1	20	1	0	1	1	0.444444444444444
1	22	1	0	1	1	0.545454545454545
1	24	1	0	1	1	0.5625
1	25	1	0	1	1	0.75
1	26	1	0	1	1	0.454545454545455
1	31	1	0	1	1	0.545454545454545
1	32	1	0	1	1	0.333333333333333
1	33	1	0	1	1	0.25
1	34	1	0	1	1	0.285714285714286
1	35	1	0	1	1	0.5
1	36	1	0	1	1	0.611111111111111
1	37	1	0	1	1	0
1	38	1	0	1	1	0.538461538461538
1	39	1	0	1	1	0.777777777777778
1	2	1	0	1	0	0.625
1	3	1	0	1	0	0.375
1	6	1	0	1	0	0.166666666666667
1	8	1	0	1	0	0
1	9	1	0	1	0	0.333333333333333
1	10	1	0	1	0	0.333333333333333
1	11	1	0	1	0	0.222222222222222
1	12	1	0	1	0	0.5
1	13	1	0	1	0	0
1	14	1	0	1	0	0.2
1	15	1	0	1	0	0.111111111111111
1	16	1	0	1	0	0.0909090909090909
1	17	1	0	1	0	0.0666666666666667
1	19	1	0	1	0	0
1	20	1	0	1	0	0.222222222222222
1	22	1	0	1	0	0.0909090909090909
1	24	1	0	1	0	0.25
1	25	1	0	1	0	0.25
1	26	1	0	1	0	0.363636363636364
1	31	1	0	1	0	0.272727272727273
1	32	1	0	1	0	0.333333333333333
1	33	1	0	1	0	0.666666666666667
1	34	1	0	1	0	0.285714285714286
1	35	1	0	1	0	0.25
1	36	1	0	1	0	0.166666666666667
1	37	1	0	1	0	0.25
1	38	1	0	1	0	0.153846153846154
1	39	1	0	1	0	0.111111111111111
1	2	1	0	0	2	0
1	3	1	0	0	2	0.0909090909090909
1	6	1	0	0	2	0.285714285714286
1	8	1	0	0	2	0.4
1	9	1	0	0	2	0.125
1	10	1	0	0	2	0.111111111111111
1	11	1	0	0	2	0.2
1	12	1	0	0	2	0.2
1	13	1	0	0	2	0.25
1	14	1	0	0	2	0
1	15	1	0	0	2	0.0833333333333333
1	16	1	0	0	2	0.0909090909090909
