subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
4	1	1	2	1	1	477.008373476565	0
4	1	2	1	1	1	709.203886799514	0
4	1	2	2	0	1	503.968326374888	0
4	1	1	1	0	1	1137.19035498798	0
4	1	1	2	1	1	626.573850400746	0
4	1	1	1	0	1	835.104564204812	0
4	1	1	2	1	1	668.521737679839	0
4	1	2	1	0	0	726.510291919112	0
4	1	2	2	0	1	670.669795945287	0
4	1	1	1	1	1	727.909146808088	0
4	1	1	2	0	1	889.754603616893	0
4	1	2	1	0	1	1355.2113249898	1
4	1	2	2	1	1	1180.0027443096	1
4	1	1	1	1	1	997.438321821392	1
4	1	1	2	0	1	822.599734179676	1
4	1	1	1	1	1	648.145064711571	1
4	1	1	2	0	1	1161.61322686821	1
4	1	2	1	1	1	1202.81945727766	0
4	1	2	2	0	1	723.144571296871	0
4	1	1	1	1	1	1021.3453695178	0
4	1	1	2	0	1	606.178066693246	0
4	1	2	1	1	1	775.542501360178	0
4	1	2	2	0	1	1208.93649198115	0
4	1	1	1	1	1	979.171622544527	1
4	1	1	2	0	1	731.502052396536	1
4	1	1	1	1	1	260.110503993928	1
4	1	1	2	0	1	685.351446270943	1
4	1	2	1	1	1	1078.47297657281	1
4	1	2	2	0	1	839.644120074809	1
4	1	1	1	1	0	1489.02976792306	0
4	1	1	2	0	0	1050.39512179792	0
4	1	2	1	0	0	1396.06676250696	0
4	1	2	2	0	1	1661.96753270924	0
4	1	2	1	1	1	903.626748360693	0
4	1	2	2	0	1	767.937407828867	0
4	1	1	1	1	0	1224.90746062249	0
4	1	1	2	0	0	682.710840366781	0
4	1	1	1	0	0	732.58650675416	1
4	1	1	2	1	0	701.20569691062	1
4	1	1	1	1	1	758.090517483652	0
4	1	1	2	1	0	607.182298786938	0
4	1	1	1	0	0	1232.97862242907	0
4	1	1	2	0	1	994.636378251016	0
4	1	2	1	1	1	1003.15679237247	0
4	1	2	2	0	1	533.097233623266	0
4	1	2	1	1	1	1078.30664236099	1
4	1	2	2	0	1	623.117176815867	1
4	1	1	1	0	1	583.771371282637	1
4	1	1	2	1	1	1162.00095321983	1
4	1	1	1	0	1	683.200434781611	1
4	1	1	2	1	1	811.990031041205	1
4	1	1	1	0	1	1196.67087309062	1
4	1	1	2	1	1	901.745025999844	1
4	1	2	1	0	1	576.494961045682	1
4	1	2	2	0	0	632.681761868298	1
4	1	2	1	1	1	1435.08276809007	0
4	1	2	2	0	1	947.181515395641	0
4	1	2	1	1	0	948.841220699251	1
4	1	2	2	0	0	525.969468988478	1
4	1	2	1	0	1	543.517640791833	0
4	1	2	2	0	0	409.022795036435	0
4	1	1	1	0	0	1443.09670571238	1
4	1	1	2	0	1	611.743387766182	1
4	1	2	1	0	1	1636.07564661652	0
4	1	2	2	0	0	540.504870936275	0
4	1	2	1	0	1	1047.54893202335	0
4	1	2	2	0	0	1439.50659409165	0
4	1	2	1	1	0	984.73403416574	1
4	1	2	2	0	0	811.367573216558	1
4	1	2	1	1	1	1035.94235144556	0
4	1	2	2	0	1	725.901826284826	0
4	1	1	1	1	1	903.113421984017	1
4	1	1	2	0	1	935.397258959711	1
4	2	2	1	NaN	0	NaN	0
4	2	2	2	NaN	0	NaN	0
4	2	2	1	NaN	0	NaN	1
4	2	2	2	NaN	0	NaN	1
4	2	1	1	0	0	988.414786756039	0
4	2	1	2	0	1	637.672283686697	0
4	2	2	1	0	1	639.031280763447	0
4	2	2	2	1	1	856.955019757152	0
4	2	2	1	0	0	961.211560294032	0
4	2	2	2	0	1	578.268975019455	0
4	2	1	1	1	1	1052.09893453866	0
4	2	1	2	NaN	0	NaN	0
4	2	2	1	0	1	525.763629004359	1
4	2	2	2	0	0	567.116111516953	1
4	2	2	1	0	1	521.703355945647	1
4	2	2	2	1	1	945.971470326185	1
4	2	1	1	1	0	1275.54112952203	1
4	2	1	2	0	0	812.956810928881	1
4	2	1	1	0	0	613.361494615674	0
