subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
4	1	1	2	1	1	487.021943554282	0
4	1	1	1	0	1	615.660404786468	0
4	1	1	2	1	1	841.024432331324	0
4	1	1	1	NaN	0	NaN	0
4	1	1	2	1	1	669.402508996427	0
4	1	1	1	0	0	1023.19404296577	1
4	1	1	2	0	1	823.694390244782	1
4	1	2	1	1	0	632.723965682089	1
4	1	2	2	0	0	1057.90211260319	1
4	1	2	1	0	1	771.646168082952	1
4	1	2	2	1	1	533.526316285133	1
4	1	2	1	0	1	957.448334433138	0
4	1	2	2	1	1	743.703412823379	0
4	1	1	1	0	1	577.770319767296	0
4	1	1	2	1	1	1026.3180071488	0
4	1	2	1	1	1	1027.83085033298	0
4	1	2	2	0	1	604.998449794948	0
4	1	2	1	1	1	838.668283075094	0
4	1	2	2	0	1	879.120850935578	0
4	1	2	1	1	1	744.301343336701	1
4	1	2	2	0	1	576.99344586581	1
4	1	1	1	0	1	1202.12277118117	0
4	1	1	2	1	1	682.919560931623	0
4	1	2	1	0	1	1093.35354622453	1
4	1	2	2	0	0	1175.63106305897	1
4	1	1	1	0	0	712.070229463279	1
4	1	1	2	0	1	561.741030775011	1
4	1	2	1	1	1	657.90450759232	0
4	1	2	2	0	1	612.391674891114	0
4	1	1	1	0	1	820.94394043088	1
4	1	1	2	0	0	1005.9542292729	1
4	1	1	1	1	1	1014.87294398248	1
4	1	1	2	0	1	599.824854172766	1
4	1	2	1	1	0	1121.47333752364	0
4	1	2	2	1	1	970.806244760752	0
4	1	2	1	0	1	628.864347934723	0
4	1	2	2	1	1	461.298199370503	0
4	1	2	1	1	1	934.064202941954	0
4	1	2	2	0	1	1407.57636260241	0
4	1	2	1	0	1	936.714024282992	0
4	1	2	2	1	1	747.965220361948	0
4	1	2	1	0	1	483.696746639907	0
4	1	2	2	1	1	1044.97396759689	0
4	1	2	1	0	1	701.951079070568	1
4	1	2	2	1	1	935.350915417075	1
4	1	2	1	1	1	665.04408698529	0
4	1	2	2	0	1	682.210867293179	0
4	1	2	1	1	0	819.121436215937	0
4	1	2	2	1	1	941.456789150834	0
4	1	1	1	0	1	805.342952720821	0
4	1	1	2	1	1	951.160361990333	0
4	1	1	1	0	1	625.086125917733	0
4	1	1	2	1	1	753.787669353187	0
4	1	1	1	0	1	811.788760125637	0
4	1	1	2	1	1	1163.66642061621	0
4	1	1	1	1	0	910.055008716881	0
4	1	1	2	1	1	935.207845643163	0
4	1	1	1	1	1	641.267220489681	1
4	1	1	2	0	1	857.551635242999	1
4	1	2	1	0	1	714.691400527954	1
4	1	2	2	0	0	868.448224849999	1
4	1	1	1	1	1	540.292931720614	0
4	1	1	2	0	1	1198.81343562156	0
4	1	1	1	0	1	783.434995450079	1
4	1	1	2	1	1	825.516945682466	1
4	1	1	1	0	0	1458.17163866013	0
4	1	1	2	0	1	1043.56574825943	0
4	1	2	1	1	1	556.881383061409	1
4	1	2	2	0	1	1119.10739634186	1
4	1	1	1	0	1	959.612560458481	0
4	1	1	2	1	1	559.76873729378	0
4	1	1	1	0	1	753.045758232474	0
4	1	1	2	0	0	794.018134474754	0
4	1	1	1	0	0	635.994566604495	0
4	1	1	2	0	1	629.548175260425	0
5	1	2	1	NaN	0	NaN	1
5	1	2	2	1	1	1526.01699903607	1
5	1	2	1	1	1	1439.17115684599	1
5	1	2	2	0	1	775.891081430018	1
5	1	2	1	1	1	856.744218617678	1
5	1	2	2	0	1	794.817068614066	1
5	1	2	1	1	1	779.151416383684	0
5	1	2	2	0	1	934.029368683696	0
5	1	2	1	0	1	1078.94764933735	1
5	1	2	2	1	1	999.988211318851	1
5	1	1	1	0	1	680.767551995814	1
5	1	1	2	1	1	1066.42885878682	1
5	1	1	1	0	1	676.137808710337	1
5	1	1	2	1	1	724.848930723965	1
5	1	2	1	0	1	630.338877439499	1
5	1	2	2	1	1	703.354622237384	1
5	1	2	1	1	1	952.626050449908	0
5	1	2	2	0	1	778.213866986334	0
5	1	1	1	1	1	626.643616706133	0
5	1	1	2	0	1	651.896807365119	0
5	1	1	1	1	1	534.427088685334	0
5	1	1	2	0	1	727.146522141993	0
5	1	1	1	1	1	567.494076676667	0
5	1	1	2	0	1	513.776374049485	0
5	1	1	1	1	1	507.729993201792	0
5	1	1	2	0	1	500.493158586323	0
5	1	2	1	1	1	604.683453217149	0
5	1	2	2	0	1	502.655127085745	0
5	1	1	1	1	1	535.594820976257	1
5	1	1	2	0	1	576.737801544368	1
5	1	1	1	1	0	714.76673334837	0
5	1	1	2	1	1	1419.82725635171	0
5	1	1	1	1	1	1348.33827055991	0
5	1	1	2	0	1	534.035372547805	0
5	1	2	1	0	1	864.673182368279	1
5	1	2	2	1	1	689.524131827056	1
5	1	2	1	1	1	689.923711121082	0
5	1	2	2	0	1	620.1301664114	0
5	1	2	1	1	1	731.979789212346	0
5	1	2	2	0	1	638.591278344393	0
5	1	2	1	0	1	606.335755437613	1
5	1	2	2	1	1	623.756849206984	1
5	1	2	1	0	1	609.68077275902	1
5	1	2	2	1	1	850.567844696343	1
5	1	1	1	0	1	651.554525829852	0
5	1	1	2	1	1	685.518563725054	0
