subject	repetition	condition	loc_in_pair	resp_big_small	resp_acc	RTs	Bmemory
50	1	1	2	1	1	800.944842863828	1
50	1	2	1	0	1	464.850642892998	1
50	1	2	2	1	1	424.31394290179	1
50	1	2	1	1	1	494.874642870855	1
50	1	2	2	0	1	430.302642926108	1
50	1	2	1	NaN	0	NaN	1
50	1	2	2	1	1	610.392642847728	1
50	1	1	1	0	0	849.79444288183	1
50	1	1	2	0	1	520.290742919315	1
50	1	1	1	1	0	311.955542885698	1
50	1	1	2	1	1	623.250442906283	1
50	1	2	1	1	1	719.247142900713	1
50	1	2	2	0	1	589.848542877007	1
50	1	1	1	1	0	501.323842909187	0
50	1	1	2	1	1	525.161042867694	0
50	1	2	1	0	1	444.749642862007	1
50	1	2	2	1	1	515.681242919527	1
50	1	2	1	0	0	930.810942896642	1
50	1	2	2	0	1	802.756942925043	1
50	1	2	1	1	1	697.960942867212	0
50	1	2	2	0	1	561.131742899306	0
50	1	1	1	1	1	488.915542897303	1
50	1	1	2	0	1	576.333342876751	1
50	1	2	1	1	1	487.189142906573	1
50	1	2	2	0	1	630.478742939886	1
50	1	1	1	1	1	534.395342925563	1
50	1	1	2	0	1	573.743042885326	1
50	1	1	1	1	1	492.581442929804	0
50	1	1	2	0	1	419.785542879254	0
50	1	2	1	1	0	835.88254294591	1
50	1	2	2	1	1	300.02474290086	1
50	1	2	1	1	1	906.679342908319	0
50	1	2	2	0	1	522.158942883834	0
50	1	2	1	0	1	1025.36494290689	1
50	1	2	2	1	1	608.814242936205	1
50	1	1	1	0	1	560.174842888955	1
50	1	1	2	1	1	504.233442887198	1
50	1	2	1	0	0	511.006242886651	1
50	1	2	2	0	1	502.429742948152	1
50	1	1	1	1	1	453.628742892761	1
50	1	1	2	0	1	501.849942898843	1
50	1	1	1	1	1	725.159742869437	1
50	1	1	2	0	1	540.446942904964	1
50	1	1	1	0	1	1155.81074293004	1
50	1	1	2	1	1	490.764942893293	1
50	1	1	1	0	1	482.544042926747	1
50	1	1	2	1	1	481.526042916812	1
50	1	2	1	0	1	464.564442867413	1
50	1	2	2	1	1	480.205342872068	1
50	1	2	1	0	1	520.058142894413	1
50	1	2	2	1	1	486.691642843653	1
50	1	2	1	0	1	750.988842861261	1
50	1	2	2	1	1	502.413342881482	1
50	1	2	1	0	1	565.574642911088	1
50	1	2	2	1	1	485.086042899638	1
50	1	1	1	0	1	549.076542898547	1
50	1	1	2	1	1	604.413642897271	1
50	1	1	1	0	1	539.685642870609	1
50	1	1	2	1	1	459.134142904077	1
50	1	2	1	0	1	529.835642897524	1
50	1	2	2	1	1	553.179742884822	1
50	1	1	1	0	1	545.32994289184	1
50	1	1	2	1	1	575.906542944722	1
50	1	2	1	1	1	607.433142897207	1
50	1	2	2	0	1	518.770842929371	1
50	1	2	1	1	1	422.114242857788	1
50	1	2	2	0	1	637.433442927431	1
50	1	1	1	1	1	500.949342909735	1
50	1	1	2	0	1	684.182942903135	1
50	1	1	1	1	1	388.184342940804	1
50	1	1	2	0	1	282.892842893489	1
50	1	2	1	1	1	722.297942906152	1
50	1	2	2	0	1	569.828342879191	1
50	1	1	1	1	0	737.823042902164	1
50	1	1	2	1	1	601.339542889036	1
50	1	1	1	1	1	863.912042870652	1
50	1	1	2	0	1	535.430942894891	1
51	1	1	1	NaN	0	NaN	0
51	1	1	2	1	1	602.250632000505	0
51	1	1	1	1	1	588.095301005524	1
51	1	1	2	0	1	443.327660992509	1
51	1	1	1	1	1	524.120843998389	1
51	1	1	2	0	1	525.701106002089	1
51	1	1	1	1	1	477.551166011835	1
51	1	1	2	0	1	495.284196003922	1
51	1	2	1	1	1	526.949594001053	1
51	1	2	2	0	1	527.72757501225	1
51	1	2	1	1	0	832.205824000994	1
51	1	2	2	1	1	672.374720990774	1
51	1	2	1	1	1	656.896216009045	1
51	1	2	2	0	1	592.857440991793	1
51	1	2	1	1	1	593.401105012163	1
51	1	2	2	0	1	514.585425000405	1
51	1	1	1	0	1	674.626355001237	0
51	1	1	2	1	1	499.304388009477	0
51	1	2	1	0	1	596.316042006947	0
51	1	2	2	1	1	531.997843994759	0
51	1	2	1	0	1	612.676563003333	1
51	1	2	2	1	1	534.258400002727	1
51	1	1	1	0	1	630.863220008905	1
51	1	1	2	1	1	550.912871010951	1
51	1	2	1	0	1	488.367908008513	0
51	1	2	2	1	1	617.14536799991	0
51	1	2	1	0	0	456.985981989419	1
51	1	2	2	0	1	601.423318003071	1
51	1	1	1	0	1	906.976079990272	1
51	1	1	2	1	1	555.452006999985	1
51	1	1	1	1	1	651.405366996187	1
51	1	1	2	0	1	555.650975991739	1
51	1	2	1	1	0	894.428743005847	0
51	1	2	2	1	1	638.130243998603	0
51	1	1	1	0	1	510.376823993283	0
51	1	1	2	1	1	431.416790990625	0
51	1	1	1	0	1	480.254277994391	1
51	1	1	2	1	1	432.969011002569	1
51	1	2	1	0	1	463.406446986482	1
51	1	2	2	1	1	448.866329999873	1
51	1	2	1	0	1	577.972297003726	1
51	1	2	2	1	1	466.135338996537	1
51	1	1	1	0	1	530.421226998442	1
51	1	1	2	1	1	482.541018995107	1
